"rank","property_id","address","latitude","longitude","price","currency","bedrooms","bathrooms","area_sqft","land_area_sqft","listing_agent_name","listing_broker_name","other_agents","redfin_estimate","estimate_mortgage","days_on_market","year_built","property_type","property_style","sold_date","status","mls_number","image_urls","description","input_url","property_url","listing_page_url"
"143","2229602","1370 Townview Ave #201, Santa Rosa, CA 95405","38.4343171","-122.6851094","339000","USD","2","1.5","1255","1163","Teresa Martinez Danielsen","Berkshire Hathaway HomeServices Heritage, REALTORS","","354750","","","1975","Condo/Co-op","Contemporary","09-03-2021","Closed","22031077","https://ssl.cdn-redfin.com/photo/77/bigphoto/077/22031077_3.jpg","This is a beautiful corner condo with 1255 sq ft. Located in Bennett Valley, close to shopping and easy freeway access. Open floor plan with sightlines between the living room, kitchen and dining area. Kitchen updated with granite counters and stainless steel appliances. Dining area is large enough for your dining table and a small desk. Inside laundry area. Master is very spacious with a nook where you could also put a desk. Private balcony provides a great view of a beautiful greenbelt. Assigned spot in covered parking garage, complex swimming pool, and elevator access. What a great price per sq foot! See virtal tour at https://youtu.be/oaG4h3hsdeY","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/1370-Townview-Ave-95405/unit-201/home/2229602","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo/page-2"
"11","2237484","65 Autumn Leaf Dr, Santa Rosa, CA 95409","38.4379615","-122.5885716","757000","USD","2","2","1854","7000","","","","764443","","","1971","Single Family Residential","","","Sold","","https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=65+Autumn+Leaf+Dr%2C+Santa+Rosa%2C+CA+95409&size=665x441&source=outdoor&client=gme-redfin&signature=6Q63R48BcRkGrwAmjwG4UyLs1U4=","","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/65-Autumn-Leaf-Dr-95409/home/2237484","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"24","2330135","1419 Olive St, Santa Rosa, CA 95407","38.4236782","-122.7168029","505000","USD","3","1.5","1357","7533","","","","520268","","","1946","Single Family Residential","","","Sold","","https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=1419+Olive+St%2C+Santa+Rosa%2C+CA+95407&size=665x441&source=outdoor&client=gme-redfin&signature=2RvQVeTO-NzPM8TggNrguq3srng=","","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/1419-Olive-St-95407/home/2330135","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"34","2556109","320 Chadwick Pl, Santa Rosa, CA 95401","38.4352669","-122.749059","580000","USD","3","2","1106","7100","","","","592949","","","1976","Single Family Residential","","","Sold","","https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=320+Chadwick+Pl%2C+Santa+Rosa%2C+CA+95401&size=665x441&source=outdoor&client=gme-redfin&signature=p4EKGNRvf7fNZ2o9KU-vQcxXWcg=","","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/320-Chadwick-Pl-95401/home/2556109","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"131","19535143","523 Debra Ct, Santa Rosa, CA 95404","38.4580258","-122.6830618","405979","USD","3","2.5","1228","","","","","405979","","","1973","","","22-02-2021","Sold","","https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=523+Debra+Ct%2C+Santa+Rosa%2C+CA+95404&size=665x441&source=outdoor&client=gme-redfin&signature=1rTsfxZh8bhjzwFy3F37KSbmRGA=","","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/523-Debra-Ct-95404/home/19535143","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo/page-2"
"7","2228104","1624 Mariposa Dr, Santa Rosa, CA 95405","38.4401278","-122.668317","659000","USD","3","2","1468","6300","","","","682134","","","1971","Single Family Residential","","","Sold","","https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=1624+Mariposa+Dr%2C+Santa+Rosa%2C+CA+95405&size=665x441&source=outdoor&client=gme-redfin&signature=K-HXwdC_pBhaWeYQxEZg-KktJlc=","","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/1624-Mariposa-Dr-95405/home/2228104","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"102","2654915","2420 Edgewater Dr #19, Santa Rosa, CA 95407","38.414619","-122.741361","244334","USD","2","1","846","","","","","244334","","","2001","Condo/Co-op","","12-03-2021","Sold","","https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=2420+Edgewater+Dr+%2319%2C+Santa+Rosa%2C+CA+95407&size=665x441&source=outdoor&client=gme-redfin&signature=LqK5Nt6PoO1tBHiIZHKxwOMHI2c=","","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/2420-Edgewater-Dr-95407/unit-19/home/2654915","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"38","2556171","1822 Glenbrook Dr, Santa Rosa, CA 95401","38.4368422","-122.7489046","585000","USD","3","2","1240","7070","","","","531098","","","1976","Single Family Residential","","","Sold","","https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=1822+Glenbrook+Dr%2C+Santa+Rosa%2C+CA+95401&size=665x441&source=outdoor&client=gme-redfin&signature=IdD5yU86Ruv8ULEVxl3V__nwKhQ=","","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/1822-Glenbrook-Dr-95401/home/2556171","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"146","2229652","1370 Townview Ave #301, Santa Rosa, CA 95405","38.4343171","-122.6851094","345000","USD","2","1.5","1255","","Drake Delzell","RE/MAX Marketplace","","346983","","","1975","Condo/Co-op","Contemporary","05-05-2021","Closed","321008519","https://ssl.cdn-redfin.com/photo/27/bigphoto/519/321008519_1.jpg","A View from the Top. Bennett Valley 2BD/1.5BA 1,255 SQ.SF condo in desirable Townview complex. Top floor, Single level unit with well-sized kitchen. Lots of light as this end unit features a full dining room and extra windows. The adjacent family room with vaulted ceiling is bathed in natural light from the sliding door and window. A full length covered deck offers beautiful sunsets and panoramic views. The large primary bedroom with vaulted ceiling and deck access, second bedroom and spacious full bathroom are down the hall past the indoor laundry area. Guest half bathroom in entry hall. Covered garage parking, complex swimming pool, and elevator access. Ideally situated near Hwy 12 & Hwy 101, close to Montgomery Village shops, restaurants and amenities plus nearby parks with hiking and biking trails.","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/1370-Townview-Ave-95405/unit-301/home/2229652","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo/page-2"
"213","2341835","283 Anteeo Way, Santa Rosa, CA 95407","38.3965554","-122.7204441","435000","USD","2","1.5","871","2631","Justin Vrobel","RE/MAX Gold","","452172","","","1996","Single Family Residential","Contemporary","26-03-2021","Closed","22030055","https://ssl.cdn-redfin.com/photo/27/bigphoto/055/22030055_4.jpg","3D walking tour at https://tinyurl.com/y3upbmds. Welcome to your new starter house. One of only 4 homes in Santa Rosa under $450,000. It is move in ready with modern updates, fresh paint inside and landscaping. A private backyard is ready for you to fire up the grill and kick your feet up. Located just a block away from Andy's Unity Park. A real gem in the Sonoma County Parks system. Quick access to 101 and NO HOA. It's time for you to stop paying your landlords mortgage and get into a home of your own before they raise your rents again.","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/283-Anteeo-Way-95407/home/2341835","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo/page-2"
"195","2400255","57 Larkfield Maples Ct, Santa Rosa, CA 95403","38.4992074","-122.7512725","404000","USD","2","1","840","1742","Matthew Martinez","Luxe Places International Realty","","421289","","","1964","Condo/Co-op","","29-04-2021","Closed","321013567","https://ssl.cdn-redfin.com/photo/27/bigphoto/567/321013567_1.jpg","Well maintained single level 2 bedroom, 1 bathroom condo in a quiet and small complex. The unit has new interior and exterior paint, updated lighting fixtures, new heater and AC unit as well as updated landscaping. One car attached garage with extra storage and washer and dryer hookups. Low maintenance and private fenced backyard. HOA covers water, garbage, exterior building insurance, common area grounds maintenance, and management.","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/57-Larkfield-Maples-Ct-95403/home/2400255","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo/page-2"
"152","2332394","1014 Aston Ave Unit A, Santa Rosa, CA 95404","38.4248928","-122.7022651","406039","USD","2","2","976","","","","","406039","","","1991","Condo/Co-op","","26-03-2021","Sold","","https://ssl.cdn-redfin.com/photo/27/bigphoto/047/21427047_3.jpg","","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/1014-Aston-Ave-95404/unit-A/home/2332394","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo/page-2"
"29","2346108","4130 Whistler Ave, Santa Rosa, CA 95407","38.3796018","-122.7288574","675000","USD","2","2.5","2544","130680","","","","892971","","","1976","Single Family Residential","","","Sold","","https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=4130+Whistler+Ave%2C+Santa+Rosa%2C+CA+95407&size=665x441&source=outdoor&client=gme-redfin&signature=MY5OR5SgfEEoj-ZTlAquV1tB7Wk=","","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/4130-Whistler-Ave-95407/home/2346108","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"154","172722232","2672 Franz Kafka Ave, Santa Rosa, CA 95404","38.416014","-122.701487","358470","USD","1","1","623","","Tara Polley","Sotheby's International Realty","","371896","","","2020","Condo/Co-op","Contemporary, Farmhouse","","Closed","22019094","https://ssl.cdn-redfin.com/photo/27/bigphoto/094/22019094_2.jpg","Welcome to Santa Rosa's newest community - The Residences @ Taylor Mountain. A collection of modern farmhouse condominiums with 5 unique floor plans in the heart of Wine Country. Featuring beautifully appointed units grouped into triplex and fourplex buildings and sustainably compliant CAL-Green Standards, tankless water heaters, 9' ceilings, LG Hi-Mac and Quartz Countertops, Mission-Style Cabinetry, and Stainless Steel appliance packages including microwave and refrigerator. Just a few short miles from hiking and biking trails, downtown dining, premier shopping, award winning private schools, Sonoma State University and the Green Music Center, and access to the Smart Train or quick commute routes. Escape the big city with work-from-home spaces, and more affordable than renting! Quick move-ins may be available. Starting in the $300,000s, don't wait!","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/2672-Franz-Kafka-Ave-95404/home/172722232","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo/page-2"
"175","2311904","305 Occidental Cir, Santa Rosa, CA 95401","38.429815","-122.757983","385000","USD","2","2.5","1176","958","Jeffery Birkenseer","Golden Gate Sotheby's International Realty","","390865","","","1985","Condo/Co-op","Contemporary","23-03-2021","Closed","321006049","https://ssl.cdn-redfin.com/photo/27/bigphoto/049/321006049_0.jpg","Lovely end unit condo with upgrades throughout! New Quartz countertops in kitchen, Newer appliances, updated bathrooms, multi zoned heating system, dual paned windows and sliding door. Turn key property! Close to the community pool. Detached one car garage and deeded parking included. Don't wait! This one won't last!","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/305-Occidental-Cir-95401/home/2311904","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo/page-2"
"50","2610903","3524 Hidden Pine Ct, Santa Rosa, CA 95404","38.4806618","-122.7045705","899900","USD","3","2","1820","7550","","","","967583","","","1985","Single Family Residential","","","Sold","","https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=3524+Hidden+Pine+Ct%2C+Santa+Rosa%2C+CA+95404&size=665x441&source=outdoor&client=gme-redfin&signature=evKW0VnD4ZGDA2pI5vp1kLtKxQw=","","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/3524-Hidden-Pine-Ct-95404/home/2610903","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"139","2323350","1962 Windmill Cir, Santa Rosa, CA 95403","38.463303","-122.74993","335000","USD","2","1.5","966","1015","Robert Keech","Vanguard Properties","","361404","","","1987","Condo/Co-op","","17-02-2021","Closed","22030491","https://ssl.cdn-redfin.com/photo/27/bigphoto/491/22030491_1.jpg","Here is a 'need to see' comfortable townhome on the northwest side of Santa Rosa in the desirable Windmill Complex! Enjoy the park-like setting with winding paths and mature redwood trees surrounding the community gated-hottub/spa area. This clean, move-in ready home has two bedrooms, two baths and an upstairs-laundry. One bedroom has a built-in closet organizer. Also Includes: Beautiful Laminate flooring downstairs and a private yard with a patio (one of the larger yards in the complex). There is one private covered parking space and plenty of guests parking and conveniently located close to shopping, restaurants and public transportation.","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/1962-Windmill-Cir-95403/home/2323350","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo/page-2"
